"Index","FileName","channel","mu","sigma","scale","date"
"1","Control-blank.csv","APC.A","3.02906949790279","0.0697304583637602","3.75689911883994","20240820"
"1","Control-blank.csv","DAPI.A","2.1010200454997","0.0577413974816768","3.47087743193586","20240820"
"1","Control-blank.csv","FITC.A","2.17125119013134","0.0800134219394719","3.75035998941148","20240820"
"1","Control-blank.csv","PE.A","2.44504696307274","0.0450607197692183","3.59422667537826","20240820"
"2","Control-max.csv","APC.A","5.1484376359403","0.0912095935008309","3.57663150523914","20240820"
"2","Control-max.csv","DAPI.A","2.1056386232821","0.0535076444495092","3.18111028647917","20240820"
"2","Control-max.csv","FITC.A","2.15480626113576","0.0791831197348312","3.72475323667785","20240820"
"2","Control-max.csv","PE.A","2.45366404781638","0.0475335155476408","3.56246518328721","20240820"
"3","Control-min.csv","APC.A","3.15112947862266","0.079416117621323","3.41904863221724","20240820"
"3","Control-min.csv","DAPI.A","2.10072588445188","0.0603076037859282","3.46087522717302","20240820"
"3","Control-min.csv","FITC.A","2.16881119095041","0.0898022489461384","3.82137842257721","20240820"
"3","Control-min.csv","PE.A","2.42694020175957","0.0524042793414271","3.75541910251129","20240820"
"4","Modified-Clean.csv","APC.A","4.6205171041423","0.10756083933119","3.40628546889889","20240820"
"4","Modified-Clean.csv","DAPI.A","2.13342526936484","0.0475300564740408","2.98432949961009","20240820"
"4","Modified-Clean.csv","FITC.A","2.19014256368119","0.0737962498246883","3.59900492030382","20240820"
"4","Modified-Clean.csv","PE.A","2.43691170556023","0.0438911831670711","3.35344464176075","20240820"
"5","Modified-Integrity.csv","APC.A","5.16842800684575","0.10433387742811","3.35656241179324","20240820"
"5","Modified-Integrity.csv","DAPI.A","2.13802395674912","0.0394235309973325","1.712587019563","20240820"
"5","Modified-Integrity.csv","FITC.A","2.19585960624851","0.0710146248516497","3.28082185219873","20240820"
"5","Modified-Integrity.csv","PE.A","2.46833158914134","0.0415407033511551","3.09463829381754","20240820"
"6","Modified-Success.csv","APC.A","4.18122048336629","0.0923419014542867","3.54248743118319","20240820"
"6","Modified-Success.csv","DAPI.A","2.13603233919491","0.0555885345466625","3.32969056365411","20240820"
"6","Modified-Success.csv","FITC.A","2.20631013081602","0.0453641181529361","1.82066418860879","20240820"
"6","Modified-Success.csv","PE.A","2.43577423773819","0.0522958900826715","3.61011404773896","20240820"
